Classification,Year,Period,Period.Desc.,Aggregate.Level,Is.Leaf.Code,Trade.Flow.Code,Trade.Flow,Reporter.Code,Reporter,Reporter.ISO,Partner.Code,Partner,Partner.ISO,X2nd.Partner.Code,X2nd.Partner,X2nd.Partner.ISO,Customs.Proc..Code,Customs,Mode.of.Transport.Code,Mode.of.Transport,Commodity.Code,Commodity,Qty.Unit.Code,Qty.Unit,Qty,Alt.Qty.Unit.Code,Alt.Qty.Unit,Alt.Qty,Netweight..kg.,Gross.weight..kg.,Trade.Value.(US$),CIF.Trade.Value..US..,FOB.Trade.Value..US..,Flag
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5293901931,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2301340965,NA,NA,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,46053015989,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,35191117416,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1478292965,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,117965611,NA,NA,4
H5,2017,2017,2017,0,0,4,Re-Import,20,Andorra,AND,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,450004,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,2.29E+11,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2.30E+11,NA,NA,4
H5,2017,2017,2017,0,0,4,Re-Import,36,Australia,AUS,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,666480561,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.66E+11,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.60E+11,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,48,Bahrain,BHR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,17390888016,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,48,Bahrain,BHR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,12485359226,NA,NA,4
H5,2017,2017,2017,0,0,3,Re-Export,48,Bahrain,BHR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1397083453,NA,NA,0
H5,2017,2017,2017,0,0,4,Re-Import,48,Bahrain,BHR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,9729918,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,3893454903,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2144962969,NA,NA,4
H5,2017,2017,2017,0,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,140385223,NA,NA,0
H5,2017,2017,2017,0,0,4,Re-Import,51,Armenia,ARM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1180242,NA,NA,0
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,3.06E+11,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2.97E+11,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1078213784,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,60,Bermuda,BMU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,11742165,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,9367587902,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,8367078520,NA,NA,4
H5,2017,2017,2017,0,0,3,Re-Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,142666845,NA,NA,0
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,10474058771,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,6367922271,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.51E+11,NA,NA,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2.18E+11,NA,NA,4
H5,2017,2017,2017,0,0,4,Re-Import,76,Brazil,BRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,134010238,NA,NA,0
H5,2017,2017,2017,0,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,3084533899,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,5570575213,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,34263590069,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,31588418276,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,104,Myanmar,MMR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,19253455102,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,104,Myanmar,MMR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,13878764485,NA,NA,4
H5,2017,2017,2017,0,0,3,Re-Export,104,Myanmar,MMR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,74383530,NA,NA,0
H5,2017,2017,2017,0,0,4,Re-Import,104,Myanmar,MMR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,316562,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,34234849200,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,29239993900,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,116,Cambodia,KHM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,14283414116,NA,NA,4
H5,2017,2017,2017,0,0,2,Export,116,Cambodia,KHM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,11278127964,NA,NA,4
H5,2017,2017,2017,0,0,4,Re-Import,116,Cambodia,KHM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,29814300,NA,NA,4
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,4.33E+11,NA,NA,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,4.20E+11,NA,NA,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,34904348702,NA,NA,0
H5,2017,2017,2017,0,0,4,Re-Import,124,Canada,CAN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,3107452511,NA,NA,0
H5,2017,2017,2017,0,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,21316199950,NA,NA,4
